revision	user	date	chromosome	systematic_id	primary_name	feature_type	qualifier_type	added_or_removed	value
8566	vw253	2022-11-30	II	SPBP8B7.18c		CDS	gene	removed	('SPBP8B7.18c',)
8566	vw253	2022-11-30	II	SPBP8B7.18c	thi201	CDS	primary_name	added	('thi201',)
8566	vw253	2022-11-30	II	SPBP8B7.18c	thi201	CDS	product	added	('phosphomethylpyrimidine kinase Thi201',)
8566	vw253	2022-11-30	II	SPBP8B7.18c		CDS	product	removed	('phosphomethylpyrimidine kinase (predicted)',)
8566	vw253	2022-11-30	II	SPBP8B7.18c	thi201	CDS	systematic_id	added	('SPBP8B7.18c',)
8566	vw253	2022-11-30	II	SPBP8B7.18c		CDS	systematic_id	removed	('SPBP8B7.18c',)
8562	vw253	2022-11-26	I	SPAC1565.02c	rga10	CDS	product	added	('RhoGAP, with CRAL-TRIO_domain Rga10',)
8562	vw253	2022-11-26	I	SPAC1565.02c	rga10	CDS	product	removed	('Rho-type GTPase activating protein, with CRAL-TRIO_domain Rga10',)
8562	vw253	2022-11-26	I	SPAC22E12.07	rna1	CDS	product	added	('Ran GAP Rna1',)
8562	vw253	2022-11-26	I	SPAC22E12.07	rna1	CDS	product	removed	('Ran GAP GTPase activating protein Rna1',)
8562	vw253	2022-11-26	II	SPBC354.13	rga6	CDS	colour	added	('2',)
8562	vw253	2022-11-26	II	SPBC354.13	rga6	CDS	colour	removed	('7',)
8562	vw253	2022-11-26	II	SPBC354.13	rga6	CDS	product	added	('RhoGAP for Cdc42, Rga6',)
8562	vw253	2022-11-26	II	SPBC354.13	rga6	CDS	product	removed	('RhoGAP Rga6 (predicted)',)
8558	vw253	2022-11-24	I	SPAC6B12.07c	pqr1	CDS	controlled_curation	added	('term=ubiquitin-protein ligase E3; date=20060726', 'term=zinc finger protein; date=20060726', 'term=zf-C3HC4 type (RING finger); date=20060726', 'term=species distribution, no apparent S. cerevisiae ortholog; date=19700101', 'term=SPX domain protein; date=19700101', 'term=species distribution, conserved in eukaryotes; date=20081110', 'term=species distribution, conserved in metazoa; date=20081110', 'term=species distribution, conserved in fungi; date=20081110', 'term=species distribution, conserved in vertebrates; date=20081110', 'term=species distribution, conserved in eukaryotes only; date=20081110', 'term=warning, gene structure updated; db_xref=PMID:21511999; date=20110311', 'term=name description, Proteolysis factor that Quiescence Requires; db_xref=PMID:34147496; date=20210709', 'term=name description, SPX domain containing protein; db_xref=PMID:35012333; date=20221124')
8558	vw253	2022-11-24	I	SPAC6B12.07c	pqr1	CDS	controlled_curation	removed	('term=ubiquitin-protein ligase E3; date=20060726', 'term=zinc finger protein; date=20060726', 'term=zf-C3HC4 type (RING finger); date=20060726', 'term=species distribution, no apparent S. cerevisiae ortholog; date=19700101', 'term=SPX domain protein; date=19700101', 'term=species distribution, conserved in eukaryotes; date=20081110', 'term=species distribution, conserved in metazoa; date=20081110', 'term=species distribution, conserved in fungi; date=20081110', 'term=species distribution, conserved in vertebrates; date=20081110', 'term=species distribution, conserved in eukaryotes only; date=20081110', 'term=warning, gene structure updated; db_xref=PMID:21511999; date=20110311', 'term=name description, Proteolysis factor that Quiescence Requires; db_xref=PMID:34147496; date=20210709', 'term=SPX domain containing protein; db_xref=PMID:35012333; date=20221124')
8558	vw253	2022-11-24	III	SPCC1827.07c	spx2	CDS	controlled_curation	added	('term=SPX domain protein; date=19700101', 'term=EXS family protein; date=19700101', 'term=sequence feature, transmembrane helices; cv=sequence_feature; date=19700101', 'term=orthologous to S. cerevisiae YIL047C; date=19700101', 'term=species distribution, conserved in eukaryotes; date=20081110', 'term=species distribution, conserved in metazoa; date=20081110', 'term=species distribution, conserved in vertebrates; date=20081110', 'term=species distribution, conserved in fungi; date=20081110', 'term=species distribution, conserved in eukaryotes only; date=20081110', 'term=species distribution, predominantly single copy (one to one); date=20081110', 'term=name description, SPX domain containing protein; db_xref=PMID:35012333; date=20221124')
8558	vw253	2022-11-24	III	SPCC1827.07c	spx2	CDS	controlled_curation	removed	('term=SPX domain protein; date=19700101', 'term=EXS family protein; date=19700101', 'term=sequence feature, transmembrane helices; cv=sequence_feature; date=19700101', 'term=orthologous to S. cerevisiae YIL047C; date=19700101', 'term=species distribution, conserved in eukaryotes; date=20081110', 'term=species distribution, conserved in metazoa; date=20081110', 'term=species distribution, conserved in vertebrates; date=20081110', 'term=species distribution, conserved in fungi; date=20081110', 'term=species distribution, conserved in eukaryotes only; date=20081110', 'term=species distribution, predominantly single copy (one to one); date=20081110', 'term=SPX domain containing protein; db_xref=PMID:35012333; date=20221124')
8557	vw253	2022-11-24	I	SPAC6B12.07c	pqr1	CDS	controlled_curation	added	('term=ubiquitin-protein ligase E3; date=20060726', 'term=zinc finger protein; date=20060726', 'term=zf-C3HC4 type (RING finger); date=20060726', 'term=species distribution, no apparent S. cerevisiae ortholog; date=19700101', 'term=SPX domain protein; date=19700101', 'term=species distribution, conserved in eukaryotes; date=20081110', 'term=species distribution, conserved in metazoa; date=20081110', 'term=species distribution, conserved in fungi; date=20081110', 'term=species distribution, conserved in vertebrates; date=20081110', 'term=species distribution, conserved in eukaryotes only; date=20081110', 'term=warning, gene structure updated; db_xref=PMID:21511999; date=20110311', 'term=name description, Proteolysis factor that Quiescence Requires; db_xref=PMID:34147496; date=20210709', 'term=SPX domain containing protein; db_xref=PMID:35012333; date=20221124')
8557	vw253	2022-11-24	I	SPAC6B12.07c	pqr1	CDS	controlled_curation	removed	('term=ubiquitin-protein ligase E3; date=20060726', 'term=zinc finger protein; date=20060726', 'term=zf-C3HC4 type (RING finger); date=20060726', 'term=species distribution, no apparent S. cerevisiae ortholog; date=19700101', 'term=SPX domain protein; date=19700101', 'term=species distribution, conserved in eukaryotes; date=20081110', 'term=species distribution, conserved in metazoa; date=20081110', 'term=species distribution, conserved in fungi; date=20081110', 'term=species distribution, conserved in vertebrates; date=20081110', 'term=species distribution, conserved in eukaryotes only; date=20081110', 'term=warning, gene structure updated; db_xref=PMID:21511999; date=20110311', 'term=name description, Proteolysis factor that Quiescence Requires; db_xref=PMID:34147496; date=20210709')
8557	vw253	2022-11-24	I	SPAC6B12.07c	pqr1	CDS	product	added	('ubiquitin-protein ligase E3 with SPX domain Pqr1/Spx1',)
8557	vw253	2022-11-24	I	SPAC6B12.07c	pqr1	CDS	product	removed	('ubiquitin-protein ligase E3 with SPX domain Pqr1',)
8557	vw253	2022-11-24	I	SPAC6B12.07c	pqr1	CDS	synonym	added	('spx1',)
8557	vw253	2022-11-24	III	SPCC1827.07c	spx2	CDS	colour	added	('2',)
8557	vw253	2022-11-24	III	SPCC1827.07c		CDS	colour	removed	('7',)
8557	vw253	2022-11-24	III	SPCC1827.07c	spx2	CDS	controlled_curation	added	('term=SPX domain protein; date=19700101', 'term=EXS family protein; date=19700101', 'term=sequence feature, transmembrane helices; cv=sequence_feature; date=19700101', 'term=orthologous to S. cerevisiae YIL047C; date=19700101', 'term=species distribution, conserved in eukaryotes; date=20081110', 'term=species distribution, conserved in metazoa; date=20081110', 'term=species distribution, conserved in vertebrates; date=20081110', 'term=species distribution, conserved in fungi; date=20081110', 'term=species distribution, conserved in eukaryotes only; date=20081110', 'term=species distribution, predominantly single copy (one to one); date=20081110', 'term=SPX domain containing protein; db_xref=PMID:35012333; date=20221124')
8557	vw253	2022-11-24	III	SPCC1827.07c		CDS	controlled_curation	removed	('term=SPX domain protein; date=19700101', 'term=EXS family protein; date=19700101', 'term=sequence feature, transmembrane helices; cv=sequence_feature; date=19700101', 'term=orthologous to S. cerevisiae YIL047C; date=19700101', 'term=species distribution, conserved in eukaryotes; date=20081110', 'term=species distribution, conserved in metazoa; date=20081110', 'term=species distribution, conserved in vertebrates; date=20081110', 'term=species distribution, conserved in fungi; date=20081110', 'term=species distribution, conserved in eukaryotes only; date=20081110', 'term=species distribution, predominantly single copy (one to one); date=20081110')
8557	vw253	2022-11-24	III	SPCC1827.07c	spx2	CDS	db_xref	added	('SPD:28/28G06',)
8557	vw253	2022-11-24	III	SPCC1827.07c		CDS	db_xref	removed	('SPD:28/28G06',)
8557	vw253	2022-11-24	III	SPCC1827.07c	spx2	CDS	primary_name	added	('spx2',)
8557	vw253	2022-11-24	III	SPCC1827.07c	spx2	CDS	product	added	('SPX/EXS domain protein Spx2',)
8557	vw253	2022-11-24	III	SPCC1827.07c		CDS	product	removed	('SPX/EXS domain protein (predicted)',)
8557	vw253	2022-11-24	III	SPCC1827.07c	spx2	CDS	synonym	added	('SPCP1E11.01c',)
8557	vw253	2022-11-24	III	SPCC1827.07c		CDS	synonym	removed	('SPCP1E11.01c',)
8557	vw253	2022-11-24	III	SPCC1827.07c	spx2	CDS	systematic_id	added	('SPCC1827.07c',)
8557	vw253	2022-11-24	III	SPCC1827.07c		CDS	systematic_id	removed	('SPCC1827.07c',)
8550	vw253	2022-11-20	I	SPNCRNA.159		ncRNA	product	added	('non-coding RNA, possible alternative UTR',)
8550	vw253	2022-11-20	I	SPNCRNA.159		ncRNA	product	removed	('ncRNA (predicted), possible alternative UTR',)
8550	vw253	2022-11-20	II	SPNCRNA.1391		ncRNA	product	added	('non-coding RNA',)
8550	vw253	2022-11-20	II	SPNCRNA.1391		ncRNA	product	removed	('ncRNA (predicted)',)
8550	vw253	2022-11-20	III	SPNCRNA.1187		ncRNA	product	added	('non-coding RNA, possible alternative UTR',)
8550	vw253	2022-11-20	III	SPNCRNA.1187		ncRNA	product	removed	('ncRNA (predicted), possible alternative UTR',)
8549	vw253	2022-11-20	I	SPNCRNA.03	prl3	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.03	prl3	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing RNA (predicted)',)
8549	vw253	2022-11-20	I	SPNCRNA.05	prl5	ncRNA	product	added	('antisense RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.05	prl5	ncRNA	product	removed	('antisense RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	I	SPNCRNA.12	prl12	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.12	prl12	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing RNA (predicted)',)
8549	vw253	2022-11-20	I	SPNCRNA.13	prl13	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.13	prl13	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	I	SPNCRNA.19	prl19	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.19	prl19	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing RNA (predicted)',)
8549	vw253	2022-11-20	I	SPNCRNA.27	prl27	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.27	prl27	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	I	SPNCRNA.37	prl37	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.37	prl37	ncRNA	product	removed	('non-coding RNA,poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	I	SPNCRNA.43	prl43	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.43	prl43	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	I	SPNCRNA.47	prl47	ncRNA	product	added	('antisense RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.47	prl47	ncRNA	product	removed	('antisense RNA, poly(A)-bearing RNA (predicted)',)
8549	vw253	2022-11-20	I	SPNCRNA.50	prl50	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.50	prl50	ncRNA	product	removed	('non-coding RNA poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	I	SPNCRNA.53	prl53	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.53	prl53	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	I	SPNCRNA.54	prl54	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.54	prl54	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	I	SPNCRNA.57	prl57	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.57	prl57	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing RNA (predicted)',)
8549	vw253	2022-11-20	I	SPNCRNA.58	prl58	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	I	SPNCRNA.58	prl58	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.04	prl4	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.04	prl4	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.11	prl11	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.11	prl11	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.17	meu11	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.17	meu11	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.20	prl20	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.20	prl20	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.23	prl23	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.23	prl23	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.24	prl24	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.24	prl24	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.26	prl26	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.26	prl26	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.34	prl34	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.34	prl34	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.36	prl36	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.36	prl36	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.38	prl38	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.38	prl38	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing  (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.39	prl39	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.39	prl39	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.42	prl42	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.42	prl42	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.62	prl62	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.62	prl62	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.66	prl66	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.66	prl66	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	II	SPNCRNA.68	prl68	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	II	SPNCRNA.68	prl68	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	III	SPNCRNA.02	prl2	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	III	SPNCRNA.02	prl2	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	III	SPNCRNA.16	prl16	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	III	SPNCRNA.16	prl16	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	III	SPNCRNA.22	prl22	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	III	SPNCRNA.22	prl22	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	III	SPNCRNA.29	meu19	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	III	SPNCRNA.29	meu19	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	III	SPNCRNA.32	prl32	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	III	SPNCRNA.32	prl32	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	III	SPNCRNA.33	prl33	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	III	SPNCRNA.33	prl33	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	III	SPNCRNA.35	prl35	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	III	SPNCRNA.35	prl35	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	III	SPNCRNA.40	prl40	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	III	SPNCRNA.40	prl40	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	III	SPNCRNA.45	prl45	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	III	SPNCRNA.45	prl45	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing  (predicted)',)
8549	vw253	2022-11-20	III	SPNCRNA.51	prl51	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	III	SPNCRNA.51	prl51	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8549	vw253	2022-11-20	III	SPNCRNA.587	meu20	ncRNA	product	added	('non-coding RNA, poly(A)-bearing',)
8549	vw253	2022-11-20	III	SPNCRNA.587	meu20	ncRNA	product	removed	('non-coding RNA, poly(A)-bearing (predicted)',)
8547	vw253	2022-11-19	I	SPAC1486.02c	dsc2	CDS	controlled_curation	added	('term=modification, phosphorylated; db_xref=PMID:19547744; evidence=IDA; cv=pt_mod; date=20100606', 'term=UBA domain protein; evidence=ISS; date=19700101', 'term=orthologous to S. cerevisiae YOL073C; date=19700101', 'term=sequence feature, N-terminal signal sequence; qualifier=predicted; cv=sequence_feature; date=19700101', 'term=sequence feature, transmembrane helices; cv=sequence_feature; date=19700101', 'term=species distribution, conserved in eukaryotes; date=20081110', 'term=species distribution, conserved in metazoa; date=20081110', 'term=species distribution, conserved in vertebrates; date=20081110', 'term=species distribution, predominantly single copy (one to one); date=20081110', 'term=species distribution, conserved in fungi; date=20081110', 'term=species distribution, conserved in eukaryotes only; date=20081110', 'term=human UBAC2 ortholog; date=20100718', 'term=name description, Defective in SREBP Cleavage; date=20111201')
8547	vw253	2022-11-19	I	SPAC1486.02c	dsc2	CDS	controlled_curation	removed	('term=modification, phosphorylated; db_xref=PMID:19547744; evidence=IDA; cv=pt_mod; date=20100606', 'term=UBA domain protein; date=19700101', 'term=orthologous to S. cerevisiae YOL073C; date=19700101', 'term=sequence feature, N-terminal signal sequence; qualifier=predicted; cv=sequence_feature; date=19700101', 'term=sequence feature, transmembrane helices; cv=sequence_feature; date=19700101', 'term=species distribution, conserved in eukaryotes; date=20081110', 'term=species distribution, conserved in metazoa; date=20081110', 'term=species distribution, conserved in vertebrates; date=20081110', 'term=species distribution, predominantly single copy (one to one); date=20081110', 'term=species distribution, conserved in fungi; date=20081110', 'term=species distribution, conserved in eukaryotes only; date=20081110', 'term=human UBAC2 ortholog; date=20100718', 'term=name description, Defective in SREBP Cleavage; date=20111201')
8547	vw253	2022-11-19	I	SPAC1486.02c	dsc2	CDS	product	added	('Golgi Dsc E3 ligase complex transmembrane subunit, C-terminal UBA domain Dsc2',)
8547	vw253	2022-11-19	I	SPAC1486.02c	dsc2	CDS	product	removed	('Golgi Dsc E3 ligase complex subunit Dsc2',)
8547	vw253	2022-11-19	I	SPAC17G6.11c	gls1	CDS	product	added	('Glycoside Hydrolase family protein  Gls1',)
8547	vw253	2022-11-19	I	SPAC17G6.11c	gls1	CDS	product	removed	('Glcoside Hydrolase family protein  Gls1 (predicted)',)
8547	vw253	2022-11-19	I	SPAC7D4.14c	iss10	CDS	controlled_curation	added	('term=modification, phosphorylated; db_xref=PMID:19547744; evidence=IDA; cv=pt_mod; date=20100606', 'term=name description, Insertional Suppressor of Sme2-delta; db_xref=PMID:23980030; date=20131104', 'term=gene expression, protein level; annotation_extension=during(GO:0072690); qualifier=present; evidence=ECO:0000279; db_xref=PMID:23980030; date=20131202', 'term=gene expression, RNA level; annotation_extension=during(GO:0072690); qualifier=present; evidence=ECO:0005653; db_xref=PMID:23980030; date=20131202', 'term=gene expression, protein level; annotation_extension=during(GO:0051321); qualifier=decreased; evidence=ECO:0000279; db_xref=PMID:23980030; date=20131202', 'term=gene expression, RNA level; annotation_extension=during(GO:0051321); qualifier=unchanged; evidence=ECO:0005653; db_xref=PMID:23980030; date=20131202', 'term=species distribution, Schizosaccharomyces specific; date=20140820')
