Systematic ID	Primary name	Date removed	Coordinates when removed	Comment	Reference
SPAC8E11.09c		2008-01-23	join(3374696..3374952,3375206..3375404)	previously annotated as dubious but no evidence for splicing, and non-canonical splice sites; unsupported by Solexa transcript data	PMID:18488015
SPAPB18E9.03c		2007-12-19	complement(join(3981978..3982082,3982179..3982198,3982306..3982315))	dubious; unsupported by Solexa transcript data	PMID:18488015
SPAPB1A11.05		2016-03-17	2975643..2975771	Merged into SPAC31G5.01,SPAPB1A11.06	
SPBC119.04	mei3	2021-04-20	719806..720252		
SPBC1198.04c	zas1	2022-08-05	complement(join(177556..177608,177656..178291,178344..178651,178690..178811,178857..178988,179032..179283,179322..179387,179440..180416,180461..180608))		
SPBC11C11.12		2010-05-20	3360974..3361072	cob intron fragment currently annotated as pseudogene	
SPBC1348.13		2011-11-20	36892..37188	Coordinates updated; now annotated as nuclear mitochondrial pseudogene (SO:0001044). Merged into SPNUMT.1	
SPBC14C8.08c		2009-02-19	complement(2219430..2219978)	merged with SPBC14C8.09c; frameshifted	PMID:16823372
SPBC1685.12c		2015-12-11	complement(523887..524240)	not protein-coding	PMID:24929437, PMID:26615217
SPBC17A3.07	pgr1	2021-04-20	join(1414496..1414547,1414603..1415945)		
SPBC18H10.21c		2007-12-19	complement(join(1811244..1811537,1812093..1812272))	alias SPBC9B6.01c; dubious; unsupported by Solexa transcript data	PMID:18488015
SPBC2D10.10c.2	fib1	2021-12-08	complement(2982764..2983681)		
SPBC2D10.10c.3	fib1	2021-12-08	complement(2982764..2983681)		
SPBC32F12.17		2015-12-11	complement(2805085..2805417)	not protein-coding	PMID:24929437, PMID:26615217
SPBC354.11c		2015-12-11	complement(575773..576291)	not protein-coding	PMID:24929437, PMID:26615217
SPBC36.13		2015-12-11	complement(845807..846079)	not protein-coding	PMID:24929437, PMID:26615217
SPBC713.13		2016-03-17	complement(890220..890546)	deleted; ID added as synonym to SPBC713.14c	PMID:24929437
SPBC776.02c.1	dis2	2021-10-28	complement(join(3173719..3174650,3175047..3175098))		
SPBC776.02c.2	dis2	2021-10-28	complement(join(3173719..3174650,3175047..3175098))		
SPBC8E4.02c	prt2	2018-10-11	4442542..4445970	SPBC8E4.02c replaced by SPNCRNA.9001 (prt2)	PMID:29414789
SPBCPT2R1.09c		2010-09-28	complement(4517649..4519024)	no coding region	
SPBPB2B2.03c		2010-09-28	complement(4462609..4464024)	no coding region	
SPBPB2B2.04		2010-09-28	4464941..4465474	no coding region	
SPBTRNAASP.03		2012-01-03	1602188..1602260	Merged into SPBTRNAARG.06,SPBTRNAASP.05	
SPCC162.04c	wtf13	2020-09-14	complement(join(1580123..1580268,1580319..1580381,1580422..1580613,1580650..1581006,1581055..1581327,1581559..1581694))		
SPCC1620.02	wtf23	2020-09-14	join(2145761..2145896,2146113..2146442,2146492..2146770,2146807..2146998,2147039..2147101,2147152..2147258)		
SPCC1672.14		2015-12-11	complement(563977..564444)	not protein-coding	PMID:24929437, PMID:26615217
SPCC18.19		2011-05-09	1982501..1982719	Merged into SPCC18.20	
SPCC188.05		2015-12-11	1482007..1482273	not protein-coding	PMID:24929437, PMID:26615217
SPCC18B5.12		2004-09-15	join(741745..741781,741830..742503)	Merged into SPCC14G10.01	
SPCC1906.03	wtf19	2020-09-11	join(2017717..2017852,2018068..2018397,2018447..2018824,2018861..2019052,2019093..2019155,2019206..2019288)		
SPCC2H8.03		2007-12-19	join(830489..830498,830560..830777)	dubious; unsupported by Solexa transcript data	PMID:18488015
SPCC417.04		2015-12-11	1673314..1673856	not protein-coding	PMID:24929437, PMID:26615217
SPCC548.03c	wtf4	2020-09-14	complement(join(221199..221344,221395..221457,221498..221689,221726..222016,222065..222337,222566..222701))		
SPCC622.05		2015-12-11	1408164..1408511	not protein-coding	PMID:24929437, PMID:26615217
SPMTR.03	mat3-Mi	2019-05-21	complement(15593..15721)		
SPMTR.04	mat3-Mc	2019-05-21	15856..16401		
SPNCRNA.01	prl1	2022-08-25	3003816..3004916	SPNCRNA.01/prl101 part of the UTR of eta2	
SPNCRNA.06	prl6	2022-08-25	complement(968168..968477)	Merged into SPNCRNA.1166	
SPNCRNA.08	prl8	2022-08-25	complement(2485488..2486126)	Merged into SPNCRNA.1519	
SPNCRNA.09	prl9	2022-08-25	complement(2485500..2486230)	Merged into SPNCRNA.1519	
SPNCRNA.10		2022-09-27	complement(1837689..1838380)	merged with SPNCRNA.1234	
SPNCRNA.101		2022-09-27	227377..227756	Merged into SPNCRNA.62	
SPNCRNA.103		2022-08-26	complement(339346..340012)		
SPNCRNA.1038		2022-12-12	complement(4936907..4937569)	Merged into SPSNORNA.42	
SPNCRNA.104		2022-09-27	547327..547670	Merged into SPNCRNA.66	
SPNCRNA.106		2022-12-21	2704773..2704920	Merged into SPAC1F8.03c,SPBC4F6.09,SPCC61.01c	
SPNCRNA.108		2022-12-08	1680947..1681089		
SPNCRNA.1084		2022-08-26	5459203..5460261	Merged into SPNCRNA.274	
SPNCRNA.109		2008-08-27	2090329..2090574	part of protein coding gene merge	
SPNCRNA.1098		2022-09-27	complement(42013..42653)	merged with SPNCRNA.07	
SPNCRNA.113		2022-12-20	4129796..4130288	Merged into SPNCRNA.1674	
SPNCRNA.114		2022-12-08	4262098..4262173		
SPNCRNA.1163		2022-12-20	957698..959188	Merged into SPNCRNA.478	
SPNCRNA.119		2022-12-08	2097286..2097395		
SPNCRNA.1196		2011-08-29	1431135..1433068	merged with SPNCRNA.67	
SPNCRNA.1217		2022-12-20	1677222..1680771	Merged into SPNCRNA.583	
SPNCRNA.125		2022-12-08	895569..895690	Merged into SPCC16A11.14	
SPNCRNA.1254		2011-08-29	2011026..2012559	merged with SPNCRNA.511	
SPNCRNA.1256		2022-08-26	2045109..2046142		
SPNCRNA.126		2022-12-08	complement(895866..895962)		
SPNCRNA.127		2022-12-08	895922..896000		
SPNCRNA.1274		2022-09-27	complement(2215568..2217808)	Merged into SPNCRNA.584	
SPNCRNA.129		2022-12-08	complement(115394..115476)		
SPNCRNA.1291		2011-08-29	2362179..2362725	merged with SPNCRNA.519	
SPNCRNA.1295		2022-09-27	2419027..2419845	Merged into SPNCRNA.29	
SPNCRNA.1300		2014-11-06	complement(21060..21754)	Merged into SPNCRNA.287	
SPNCRNA.1308		2014-11-06	complement(103165..104528)	Merged into SPNCRNA.291	
SPNCRNA.1311		2014-11-06	120577..121643	Merged into SPNCRNA.293	
SPNCRNA.1341		2022-08-26	complement(339484..340003)	Merged into SPNCRNA.103	
SPNCRNA.1347		2012-08-06	complement(360439..363023)	Merged into SPNCRNA.304	
SPNCRNA.1372		2014-11-06	complement(591798..592612)	Merged into SPNCRNA.316	
SPNCRNA.138		2022-12-21	79209..79317		
SPNCRNA.1380		2012-08-06	674049..676227	Merged into SPNCRNA.322	
SPNCRNA.1388		2022-09-27	835808..836248	Merged into SPNCRNA.34	
SPNCRNA.143		2022-12-08	236819..236928	Merged into SPNCRNA.625	
SPNCRNA.1436		2022-12-19	complement(1467902..1468396)	Merged into SPSNORNA.47	
SPNCRNA.144		2022-08-26	238509..238898	Merged into SPNCRNA.627	
SPNCRNA.145		2022-09-27	239730..240571	Merged into SPNCRNA.628	
SPNCRNA.1481		2022-12-19	1952767..1955702	Merged into SPNCRNA.571	
SPNCRNA.1486		2022-02-23	2115592..2117088	merged with SPNCRNA.388	
SPNCRNA.1531		2022-08-26	2584028..2586436	Merged into SPNCRNA.402	
SPNCRNA.1541		2022-09-27	2661608..2662564	Merged into SPNCRNA.540	
SPNCRNA.1612		2022-12-21	3537068..3538112	Merged into SPBC887.22	
SPNCRNA.162		2008-07-16	967652..968379	Merged into SPAC222.17	
SPNCRNA.1631		2022-08-26	3702520..3703093	Merged into SPNCRNA.428	
SPNCRNA.1652		2011-08-22	complement(3978331..3982106)	Merged into SPNCRNA.111	
SPNCRNA.1679		2022-08-26	complement(4194886..4196046)	Merged into SPNCRNA.438	
SPNCRNA.1707	prl102	2022-12-20	2626082..2626661	Merged into SPNCRNA.5748	
SPNCRNA.1711	adh1-antisense-2	2022-09-27	complement(1590089..1593983)	Merged into SPNCRNA.1710	
SPNCRNA.18		2022-09-27	complement(3699381..3700010)	merged with SPNCRNA.928	
SPNCRNA.193		2022-09-27	2404684..2405924	Merged into SPNCRNA.823	
SPNCRNA.197		2022-12-19	2519010..2521358	Merged into SPNCRNA.831	
SPNCRNA.20	prl20	2022-12-20	complement(3934357..3934809)	Merged into SPNCRNA.1649	
SPNCRNA.2010		2022-08-25	complement(14934..16200)	Merged into SPNCRNA.1701	
SPNCRNA.205		2022-12-19	2738681..2740459	Merged into SPNCRNA.848	
SPNCRNA.208		2022-12-21	2802514..2802681		
SPNCRNA.210		2022-12-19	2959156..2959658	Merged into SPNCRNA.865	
SPNCRNA.221		2011-04-18	3405117..3405938	Merged into SPNCRNA.907	
SPNCRNA.223		2011-02-04	complement(3534486..3536133)	Merged into SPAC16E8.18c	
SPNCRNA.227		2022-08-26	3610148..3611124	Merged into SPNCRNA.921	
SPNCRNA.235		2008-07-16	3790667..3791710	Merged into SPAP4C9.02	
SPNCRNA.236		2022-12-19	3846893..3847670	Merged into SPNCRNA.941	
SPNCRNA.245		2008-07-16	complement(4365732..4366743)	Merged into SPAC23D3.17	
SPNCRNA.246		2022-12-19	4400686..4401605	Merged into SPNCRNA.985	
SPNCRNA.248		2022-12-19	4531070..4531631	Merged into SPNCRNA.996	
SPNCRNA.254		2022-12-19	4869147..4870212	Merged into SPNCRNA.1032	
SPNCRNA.263		2023-02-13	5317424..5317575		
SPNCRNA.265		2022-12-21	5387957..5388056		
SPNCRNA.272		2022-12-21	5442999..5443180		
SPNCRNA.277		2022-12-19	5478402..5479098		
SPNCRNA.288		2011-03-24	complement(61601..62885)	Merged into SPBPB21E7.11	
SPNCRNA.289		2022-08-26	63695..64021	Merged into SPNCRNA.1303	
SPNCRNA.290		2022-12-21	102509..102673		
SPNCRNA.299		2022-12-19	274745..275832	Merged into SPNCRNA.1333	
SPNCRNA.308		2011-03-24	501166..501471	Merged into SPBC1685.16	
SPNCRNA.310		2022-12-21	5543364..5543438		
SPNCRNA.3112		2022-12-12	2474190..2474389		
SPNCRNA.314		2011-03-24	578127..578188	Merged into SPBC354.12	
SPNCRNA.321		2022-12-19	672953..673783	Merged into SPNCRNA.1379	
SPNCRNA.325		2022-12-12	720414..720516		
SPNCRNA.329		2022-12-19	831524..832704	Merged into SPNCRNA.1387	
SPNCRNA.334		2022-02-23	948994..949948	Merged into SPNCRNA.1399	
SPNCRNA.341		2022-12-08	4106634..4106726		
SPNCRNA.342		2022-02-23	1224483..1224560		
SPNCRNA.347		2011-03-24	1385519..1386025	Merged into SPBC8D2.15	
SPNCRNA.353		2011-03-24	1546238..1546718	Merged into SPBC29B5.01	
SPNCRNA.379		2022-02-23	1892116..1892775	Merged into SPNCRNA.1474	
SPNCRNA.38	prl38	2023-01-23	complement(2186474..2186908)	Merged into SPNCRNA.1493	
SPNCRNA.381		2011-03-24	3398737..3398938		
SPNCRNA.386		2023-01-11	2051835..2051899		
SPNCRNA.41	prl41	2011-03-24	1652051..1652489	Merged into SPBC21B10.14	
SPNCRNA.410		2022-08-26	2886001..2886371	Merged into SPNCRNA.1559	
SPNCRNA.411		2022-08-26	2901243..2902541	Merged into SPNCRNA.1561	
SPNCRNA.418		2011-03-24	3252028..3253686	Merged into SPBC25H2.18	
SPNCRNA.419		2022-12-20	3408356..3410137	Merged into SPNCRNA.1598	
SPNCRNA.422		2011-03-24	3530807..3530914	Merged into SPBC1105.14	
SPNCRNA.424		2022-12-20	3584415..3584941	Merged into SPNCRNA.1619	
SPNCRNA.426		2022-12-20	3620593..3622000	Merged into SPNCRNA.1624	
SPNCRNA.430		2008-07-16	3892174..3892932	Merged into SPBC1604.25	
SPNCRNA.436		2022-12-20	4033337..4035308	Merged into SPNCRNA.1657	
SPNCRNA.44	prl44	2011-03-24	955413..955760	Merged into SPCPB16A4.07	
SPNCRNA.444		2022-12-20	4435937..4436680	Merged into SPNCRNA.1693	
SPNCRNA.4496		2022-12-19	5524126..5524769	Merged into SPNCRNA.1703	
SPNCRNA.4499		2022-12-19	complement(5552817..5554059)	Merged into SPNCRNA.1704	
SPNCRNA.4538		2022-08-26	complement(63188..63561)		
SPNCRNA.458		2022-12-20	170771..173539	Merged into SPNCRNA.1115	
SPNCRNA.46		2022-09-27	complement(4651351..4651792)	SPNCRNA.46 changed to 5' UTR of SPAC144.19 (prl46)	PMID:32594847
SPNCRNA.4675		2022-08-26	complement(340287..340577)	Merged into SPNCRNA.103	
SPNCRNA.470		2008-07-16	684621..685496	Merged into SPCC16C4.22	
SPNCRNA.476		2011-03-24	934572..935182	Merged into SPCC24B10.19c	
SPNCRNA.48	prl48	2008-01-23	complement(join(3942128..3942364,3942504..3942673,3942775..3942906))	replaced by protein coding gene SPAC2F3.18	
SPNCRNA.489		2022-09-27	1342276..1342801	merged with SPNCRNA.1187	
SPNCRNA.49	prl49	2006-09-05	complement(4009084..4009282)	Merged into SPNCRNA.53	
SPNCRNA.490		2022-12-21	1354634..1354743		
SPNCRNA.495		2022-08-26	1560068..1561109	Merged into SPNCRNA.1205	
SPNCRNA.5		2022-08-25	434104..434843		
SPNCRNA.502		2022-08-26	1782127..1783070	merged with SPNCRNA.1228	
SPNCRNA.503		2022-08-26	1787163..1787440		
SPNCRNA.504		2022-12-20	1839578..1840266	Merged into SPNCRNA.1235	
SPNCRNA.507		2022-12-08	complement(2265688..2265845)	Merged into SPNCRNA.808	
SPNCRNA.508		2022-12-08	1938961..1939133		
SPNCRNA.509		2010-06-10	complement(1966483..1966635)	dubious and partially overlapping with Ost5. Merged into SPCC18.19c	
SPNCRNA.510		2022-12-08	3851006..3851107	Merged into SPNCRNA.942	
SPNCRNA.514		2022-12-08	complement(2145712..2145812)	Merged into SPNCRNA.1490	
SPNCRNA.515		2022-12-08	3962690..3962794	Merged into SPNCRNA.1651	
SPNCRNA.523		2022-12-20	complement(2381299..2381802)	Merged into SPNCRNA.1293	
SPNCRNA.527		2011-03-24	2830376..2831519	Merged into SPAC3F10.19	
SPNCRNA.528		2022-12-19	complement(2931805..2932279)		
SPNCRNA.531		2011-05-09	2291674..2292604	Merged into SPAC4G9.22	
SPNCRNA.532		2022-12-20	complement(4465475..4466352)	Merged into SPNCRNA.1696	
SPNCRNA.533		2008-01-23	complement(62375..63035)		
SPNCRNA.537		2011-02-04	2273953..2274349	Merged into SPBC16H5.12c	
SPNCRNA.538		2022-08-26	2301759..2303132	Merged into SPNCRNA.1501	
SPNCRNA.539		2022-12-20	complement(2601130..2601336)	Merged into SPNCRNA.1533	
SPNCRNA.541		2022-12-20	complement(3150467..3153000)	Merged into SPNCRNA.1582	
SPNCRNA.542		2011-02-04	complement(3346551..3347078)	Merged into SPBC17D1.17	
SPNCRNA.543		2022-12-20	complement(3751363..3751721)	Merged into SPBC13G1.16	
SPNCRNA.548		2011-05-09	complement(1641873..1642741)	Merged into SPCC663.18	
SPNCRNA.5498		2022-02-23	2113971..2114364	Merged into SPNCRNA.1708	
SPNCRNA.55	prl55	2010-01-29	2416235..2416706	Merged into SPAC6B12.18	
SPNCRNA.551		2022-12-19	485703..486330	Merged into SPNCRNA.653	
SPNCRNA.552	pol4-antisense-1	2022-08-26	541795..543483	Merged into SPNCRNA.660	
SPNCRNA.553	SPAC13A11.06-antisense-2	2022-09-27	complement(585266..587631)	Merged into SPNCRNA.662	
SPNCRNA.557		2022-12-19	complement(1902620..1904134)	Merged into SPNCRNA.772	
SPNCRNA.559		2022-12-19	2893868..2895019	Merged into SPNCRNA.858	
SPNCRNA.564		2022-12-19	4931204..4933354	Merged into SPNCRNA.1037	
SPNCRNA.574		2022-12-20	3510949..3512276	Merged into SPNCRNA.1608	
SPNCRNA.578		2022-12-20	complement(343079..346451)	Merged into SPNCRNA.1132	
SPNCRNA.582		2022-12-20	complement(1587755..1588838)	Merged into SPNCRNA.1208	
SPNCRNA.588		2011-03-24	complement(join(3835571..3835672,3835719..3835910,3835967..3836109))	Merged into SPAC4H3.16	
SPNCRNA.59	prl59	2022-08-26	2362411..2362747	Merged into SPNCRNA.817	
SPNCRNA.60	prl60	2011-03-24	complement(2005290..2005716)	Merged into SPBP23A10.17	
SPNCRNA.63	prl63	2009-10-23	complement(4008184..4008423)	Merged into SPNCRNA.53	
SPNCRNA.64		2022-12-20	827254..827546	Merged into SPCC1393.13	
SPNCRNA.65	prl65	2011-03-24	complement(join(2472399..2472749,2472861..2472897))	Merged into SPAC19A8.16	
SPNCRNA.681		2022-08-26	776184..777243	Merged into SPNCRNA.159	
SPNCRNA.7117		2022-12-20	complement(935976..936618)	Merged into SPNCRNA.1706	
SPNCRNA.72	eta2-antisense-2	2022-08-25	complement(3001825..3003103)	Merged into SPNCRNA.872	
SPNCRNA.727		2022-08-26	1234476..1235111	deleted; ID added as synonym to SPNCRNA.82 and SPSNORNA.10 (covers both). Merged into SPNCRNA.82,SPSNORNA.10	
SPNCRNA.729		2022-08-26	1236996..1238533	Merged into SPNCRNA.432	
SPNCRNA.73	eta2-antisense-3	2022-08-25	complement(3002834..3003255)	Merged into SPNCRNA.872	
SPNCRNA.74	eta2-antisense-4	2022-08-25	complement(3002976..3003758)	Merged into SPNCRNA.872	
SPNCRNA.75		2022-12-21	complement(2810265..2810692)	Merged into SPAC1B2.03c	
SPNCRNA.76		2022-08-26	79543..79628	overlapped with correctly annotated NUMT (SPNUMT.9)	
SPNCRNA.77		2022-08-26	2362396..2362641	Merged into SPNCRNA.817	
SPNCRNA.78		2022-08-26	2362643..2362753	Merged into SPNCRNA.817	
SPNCRNA.81		2022-12-21	complement(1574846..1575103)		
SPNCRNA.83		2022-08-26	72344..72414	overlapped with correctly annotated NUMT (SPNUMT.8)	
SPNCRNA.85		2008-01-23	complement(500805..501224)	replaced by protein coding gene SPAC227.19c	
SPNCRNA.860		2022-12-19	complement(2931622..2932800)		
SPNCRNA.88		2022-12-08	3033837..3033955		
SPNCRNA.882		2022-12-19	3060538..3061276	Merged into SPNCRNA.212	
SPNCRNA.884		2022-09-27	complement(3084619..3086087)	merged with SPNCRNA.214	
SPNCRNA.89		2022-12-08	3960007..3960165		
SPNCRNA.893		2023-03-01	3177931..3178309	Merged into SPNCRNA.87	
SPNCRNA.906		2022-12-08	3394883..3395271	Merged into SPSNORNA.20	
SPNCRNA.91		2022-12-08	5058865..5059013		
SPNCRNA.911		2022-12-19	complement(3477738..3479037)		
SPNCRNA.951		2022-09-27	3951825..3952588	Merged into SPNCRNA.239	
SPNCRNA.958		2022-08-26	complement(4100222..4101663)	merged with SPAC23A1.20	
SPNCRNA.962		2022-08-26	4136046..4137000	Merged into SPNCRNA.306	
SPNCRNA.97		2008-01-23	4012418..4012891	replaced by short protein coding gene SPAC27E2.14	
SPNCRNA.99		2022-12-08	complement(4434321..4434475)		
SPNCRNA.994		2022-08-26	4516018..4517065	Merged into SPNCRNA.130	
SPNCRNA15		2004-09-15	complement(1329946..1330660)		
SPNCTRNA.25		2004-09-15	2569630..2570056		
SPRPTA.1		2014-06-09	complement(6360..6755)		
SPRPTA.19		2014-06-09	complement(5538601..5539019)		
SPRPTA.2		2014-06-09	7548..12710		
SPRPTA.21		2014-06-09	5555691..5556879		
SPRPTA.22		2014-06-09	5559353..5560691		
SPRPTA.23		2014-06-09	5559366..5570144		
SPRPTA.24		2014-06-09	5562559..5567158		
SPRPTA.25		2014-06-09	complement(join(5564531..5564853,5565067..5565187,5565247..5565349))		
SPRPTA.26		2014-06-09	5568686..5579133		
SPRPTA.3		2014-06-09	15829..22113		
SPRPTA.4		2014-06-09	20859..29663		
SPRPTB.1		2014-06-09	1..6535		
SPRPTB.11		2016-03-23	complement(4019659..4019822)		
SPRPTB.12		2016-03-23	complement(4019846..4019937)		
SPRPTB.16		2014-06-09	4535114..4535276		
SPRPTB.17		2014-06-09	4535426..4535519		
SPRPTB.18		2014-06-09	4535640..4539804		
SPRPTB.2		2014-06-09	8062..12662		
SPRPTB.3		2014-06-09	14527..29514		
SPRPTB.4		2014-06-10	complement(54135..56795)		
SPRPTB.5		2014-06-10	complement(56925..57077)		
SPRPTB.6		2020-05-01	complement(592650..594176)		
SPRPTC.2		2020-05-01	615327..616830		
SPRPTC.5		2020-05-01	1401219..1403077		
SPRPTC.7		2020-05-01	complement(1579527..1581981)		
SPRPTC.8		2020-05-01	complement(1738762..1740960)		
SPRPTCENB.12	cnt2.2	2021-01-21	1624515..1627609		
SPRRNA.08		2009-09-04	2439540..2447392	Merged into SPRRNA.46,SPRRNA.49,SPRRNA.52	
SPRRNA.09		2009-09-04	2450422..2452883	Merged into SPRRNA.45	
SPRRNA.21		2009-09-04	complement(1..2852)	Merged into SPRRNA.42,SPRRNA.43,SPRRNA.47,SPRRNA.50	
SPRRNA.22		2009-09-04	complement(5542..13722)		
SPRRNA.23		2009-09-04	complement(16412..24810)	Merged into SPRRNA.44,SPRRNA.48,SPRRNA.51	
SPRRNA.25		2010-01-29	complement(814799..814896)	small fragment of 25S rRNA	
SPSNORNA.51	snR99	2007-07-05	583416..583605	Merged into SPSNORNA.32	
