Systematic ID	Primary name	Date added	Comment	Reference
SPBC409.23	tam7	2011-02-04		PMID:21270388
SPBC3H7.18	tam8	2011-02-04		PMID:21270388
SPBC32F12.16	new17	2011-02-04		PMID:21270388
SPBC30D10.21	new18	2011-02-04		PMID:21270388
SPBC24C6.13	new16	2011-02-04		PMID:21270388
SPBC17D1.17	tam11	2011-02-04		PMID:21270388
SPBC1711.18	tam9	2011-02-04		PMID:21270388
SPBC14C8.19	tam10	2011-02-04		PMID:21270388
SPBC1105.19	tam12	2011-02-04		PMID:21270388
SPAC926.10	new9	2011-02-04		PMID:21270388
SPAC6B12.19	rsa3	2011-02-04		PMID:21270388
SPAC4F10.22	cmc4	2011-02-04		PMID:21270388
SPAC4D7.15	new12	2011-02-04		PMID:21270388
SPAC4D7.14	new13	2011-02-04		PMID:21270388
SPAC3H5.13	new4	2011-02-04		PMID:21270388
SPAC3G9.17	new8	2011-02-04		PMID:21270388
SPAC23A1.20	new11	2011-02-04		PMID:21270388
SPAC222.19	tam1	2011-02-04		PMID:21270388
SPAC1F7.14c	tam6	2011-02-04		PMID:21270388
SPAC1B3.21	tam3	2011-02-04		PMID:21270388
SPAC19G12.17	new10	2011-02-04		PMID:21270388
SPAC1805.18	new2	2011-02-04		PMID:21270388
SPAC17G8.15	new1	2011-02-04		PMID:21270388
SPAC16E8.18c	tam5	2011-02-04		PMID:21270388
SPAC15A10.17	coa2	2011-02-04		PMID:21270388
SPAC1486.11	fmc1	2011-02-04		PMID:21270388
SPCC18.19c	ost5	2010-05-20	first 2 exons may be incorrect, homology is within 3rd exon	pers. comm. Val Wood
SPAC9G1.15c	mzt1	2010-05-20		PMID:21270388
SPBC3E7.17		2010-01-29		
SPCC1235.16	vma21	2009-05-01		pers. comm. Juan Mata
SPBP35G2.16c	ecl2	2009-05-01		PMID:19352039
SPBC8E4.12c	ecl3	2009-05-01		PMID:19352039
SPCC757.15		2008-05-12	Solexa prediction	PMID:18488015
SPCC70.12c	ecl1	2008-05-12	extender of the chronological lifespan protein Ecl1. Solexa prediction	PMID:18422613,PMID:18488015
SPCC569.09		2008-05-12	sequence orphan; longest reading frome in solexa transcript SPNG2623. Solexa prediction	PMID:18488015
SPCC16C4.22		2008-05-12	Solexa prediction	PMID:18488015
SPCC1442.19		2008-05-12	Solexa prediction	PMID:18488015
SPBC29A10.17		2008-05-12	Solexa prediction	PMID:18488015
SPBC26H8.16		2008-05-12	Solexa prediction	PMID:18488015
SPBC1604.25		2008-05-12	Solexa prediction	PMID:18488015
SPAPB1E7.14	iec5	2008-05-12	Solexa prediction	PMID:18488015
SPAP4C9.02		2008-05-12	Solexa prediction	PMID:18488015
SPAC6F6.19		2008-05-12	Solexa prediction	PMID:18488015
SPAC688.16		2008-05-12	Solexa prediction	PMID:18488015
SPAC57A7.15c		2008-05-12	Solexa prediction	PMID:18488015
SPAC4G9.22		2008-05-12	Solexa prediction	PMID:18488015
SPAC27E2.14		2008-05-12	Solexa prediction	PMID:18488015
SPAC25H1.10c	atp19	2008-05-12	Solexa prediction	PMID:18488015
SPAC23H4.21		2008-05-12	Solexa prediction	PMID:18488015
SPAC23D3.17		2008-05-12	Solexa prediction	PMID:18488015
SPAC23D3.16		2008-05-12	Solexa prediction	PMID:18488015
SPAC22F3.15		2008-05-12	Solexa prediction	PMID:18488015
SPAC227.19c		2008-05-12	Solexa prediction	PMID:18488015
SPAC222.18		2008-05-12	Solexa prediction	PMID:18488015
SPAC222.17		2008-05-12	Solexa prediction	PMID:18488015
SPAC212.12		2008-05-12		PMID:21511999
SPAC20G4.09		2008-05-12	Solexa prediction	PMID:18488015
SPAC167.09		2008-05-12	Solexa prediction	PMID:18488015
SPAC12G12.17		2008-05-12	Solexa prediction	PMID:18488015
SPCC1183.12	spo13	2008-04-18	previously SPNCRNA.546; splice site not spotted because it was outside the coordinate range of the feature. Solexa prediction	PMID:18367542,PMID:18488015
SPBC16C6.14	spo2	2008-04-18	Solexa prediction	PMID:18367542,PMID:18488015
SPBC12D12.09	rev7	2008-01-23		PMID:21511999
SPAPB1A10.16		2007-12-19	conserved fungal protein; created from the C-term exon of SPAPB1A10.03	PMID:30566651
SPAC22F3.11c	snu23	2007-12-19		PMID:16823372,PMID:21511999,PMID:26494834,PMID:26615217
SPCC1393.14		2007-07-23	ten1; nuclear telomere cap complex subunit	pers. comm. Paul Russell
SPAC1250.07		2007-04-23	dubious. TFIIIC subunit Tfc7	PMID:17409385
SPCC417.15		2006-02-19	dubious	PMID:21511999
SPCC338.03c		2006-02-19		PMID:21511999
SPCC16C4.21		2006-02-19		
SPBCPT2R1.10		2006-02-19		
SPBC1347.14c		2006-02-19	dubious	SPD:52/52E09
SPAC9E9.02		2006-02-19		PMID:21511999
SPAC8E11.08c		2006-02-19		PMID:21511999
SPAC806.11		2006-02-19		
SPAC6B12.18		2006-02-19	sequence orphan	PMID:21511999
SPAC27E2.12		2006-02-19	dubious	
SPAC23C4.04c		2006-02-19		PMID:18488015
SPCC1223.15c	spc19	2005-07-05	DASH complex subunit Spc19	pers. comm. Xiangwei He
SPBC3D6.16		2005-07-05	sequence orphan	
SPBC3B9.22c	dad4	2005-07-05	DASH complex subunit Dad4 (predicted)	pers. comm. Xiangwei He
SPAC8C9.19		2005-07-05	conserved protein; similar to D. hansenii DEHA0C10780g	
SPAC57A10.14		2005-07-05	SAGA complex subunit (predicted); identified in targeted search for S. cerevisiae SGF11 ortholog	PMID:21511999
SPAC3A12.19		2005-07-05	mitochondrial ribosomal protein; identified in targeted search for S. cerevisiae YBR282W ortholog	PMID:21511999
SPAC19D5.11c		2005-07-05	similar to S. cerevisiae CTF8	 pers. comm. Stuart MacNeil
SPAC19D5.10c		2005-07-05	sequence orphan	SPD:52/52C01
SPBCPT2R1.08c		2004-09-15		PMID:21511999
SPBCPT2R1.07c		2004-09-15		
SPBCPT2R1.06c		2004-09-15		
SPBCPT2R1.05c		2004-09-15		
SPBCPT2R1.04c		2004-09-15		PMID:21511999
SPBCPT2R1.03		2004-09-15		
SPBCPT2R1.02		2004-09-15		
SPBC6B1.12c		2004-09-15	SAGA histone acetylase complex (predicted); involved in nuclear export (predicted); similar to S. cerevisiae YBR111W-A; identified in targeted search for S. cerevisiae SUS1 ortholog	PMID:21511999
SPBC56F2.14	mrpl44	2004-09-15	ribosomal protein, mitochondrial L44 (predicted); similar to S. cerevisiae YMR225C; identified in targeted search for S. cerevisiae MRP144 ortholog	
SPBC31A8.02		2004-09-15		
SPBC1685.16	vma9	2004-09-15		PMID:21511999
SPAC959.10		2004-09-15	tRNA splicing endonuclease; similar to S. cerevisiae YMR059W	PMID:21511999
SPAC6B12.06c		2004-09-15		PMID:21511999
SPAC14C4.16		2004-09-15	hypothetical protein; sequence orphan; identified in targeted search for S. cerevisiae DAD3 ortholog	PMID:30566651
SPCC576.16c	wtf22	2003-08-14		PMID:28631610
SPCC330.19c		2003-08-14	hypothetical protein; sequence orphan; confirmed by EST	PMID:21511999
SPCC162.04c	wtf13	2003-08-14		PMID:28631610,PMID:30475921,PMID:30991417
SPBPB8B6.06c		2003-08-14		EMBL:AU013227
SPBPB8B6.05c		2003-08-14		EMBL:AU009839
SPBPB8B6.03		2003-08-14		
SPBPB8B6.02c		2003-08-14		PMID:21511999
SPBPB21E7.09		2003-08-14		PMID:21511999
SPBPB21E7.08		2003-08-14		PMID:30566651
SPBPB21E7.07		2003-08-14		PMID:30566651
SPBPB21E7.06		2003-08-14		
SPBPB21E7.05		2003-08-14		
SPBPB21E7.04c		2003-08-14		PMID:21511999
SPBPB21E7.01c		2003-08-14		PMID:21511999
SPBC1348.14c		2003-08-14		PMID:21511999
SPBC1348.12		2003-08-14		
SPBC1348.11		2003-08-14		
SPBC1348.10c		2003-08-14		
SPBC1348.09		2003-08-14		
SPBC1348.08c		2003-08-14		PMID:21511999
SPBC1348.07		2003-08-14		PMID:21511999
SPBC1348.06c		2003-08-14		
SPBC1348.05		2003-08-14		PMID:21511999
SPBC1348.04		2003-08-14		PMID:21511999
SPBC1348.03		2003-08-14		PMID:21511999
SPBC1348.02		2003-08-14		PMID:21511999
SPBC1348.01		2003-08-14		PMID:21511999
SPAC2F3.12c		2003-08-14		PMID:21511999
SPBPB21E7.10		2002-09-05		PMID:21511999
SPBPB21E7.02c		2002-09-05		PMID:21511999
SPAPB15E9.02c		2002-09-05		PMID:21511999
SPAC2F3.18c		2002-09-05		PMID:21511999
SPAC2E12.02		2002-09-05		EMBL:AU008781
SPBPB8B6.04c	grt1	2002-03-22		PMID:11058086
SPBP22H7.08		2002-03-22		PMID:21511999
SPAPB18E9.05c		2002-03-22		
SPAPB18E9.04c		2002-03-22		PMID:21511999
SPAPB18E9.02c	ppk18	2002-03-22		PMID:21511999
SPAPB18E9.01	trm5	2002-03-22		PMID:21511999
