Date	Systematic ID	Primary name	Before / After change	Coordinates	Comment	Reference
2022-08-25	SPCC126.15c	sec65	before	III:complement(join(2142679..2143055,2143109..2143373))		
2022-08-25	SPCC1620.10	cwf26	after	III:join(2163220..2164118,2164159..2164165)		
2022-08-25	SPCC1620.10	cwf26	before	III:join(2163205..2164118,2164159..2164165)		
2022-08-25	SPCC1682.01	qcr9	after	III:join(371284..371286,371353..371438,371498..371546,371612..371677)		
2022-08-25	SPCC1682.01	qcr9	before	III:join(371230..371286,371353..371438,371498..371546,371612..371677)		
2022-08-25	SPCC1682.05c	srp68	after	III:complement(join(379065..379652,379728..380604,380660..380823))		
2022-08-25	SPCC1682.05c	srp68	before	III:complement(join(379065..379652,379728..380604,380660..380922,380969..381034))		
2022-08-25	SPCC569.03		after	III:complement(join(2430334..2430776,2430840..2431347))		
2022-08-25	SPCC569.03		before	III:complement(join(2430334..2430776,2430840..2431524))		
2022-08-25	SPCC622.11	lmb1	after	III:join(1417271..1417438,1417634..1418983)		
2022-08-25	SPCC622.11	lmb1	before	III:join(1417100..1417438,1417634..1418983)		
2022-08-25	SPCC825.04c	naa40	after	III:complement(1030256..1030828)		
2022-08-25	SPCC825.04c	naa40	before	III:complement(1030256..1030870)		
2022-08-25	SPCP1E11.06	apl4	after	III:2402067..2404577		
2022-08-25	SPCP1E11.06	apl4	before	III:2401980..2404577		
2022-08-25	SPBC14C8.01c	cut2	after	II:complement(2203316..2204206)		
2022-08-25	SPBC14C8.01c	cut2	before	II:complement(2203316..2204221)		
2022-08-25	SPBC1703.06	pof10	after	II:join(2925563..2925620,2925675..2927554)		
2022-08-25	SPBC1703.06	pof10	before	II:join(2925512..2925620,2925675..2927554)		
2022-08-25	SPBC1709.17	met7	after	II:join(1132227..1132253,1132300..1132431,1132741..1134042)		
2022-08-25	SPBC1709.17	met7	before	II:join(1132170..1132253,1132300..1132431,1132741..1134042)		
2022-08-25	SPBC18E5.12c	mas2	after	II:complement(2096528..2098012)		
2022-08-25	SPBC18E5.12c	mas2	before	II:complement(2096528..2098036)		
2022-08-25	SPBC19G7.04		after	II:join(2349611..2349654,2349697..2350344,2350388..2350766)		
2022-08-25	SPBC19G7.04		before	II:join(2349593..2349654,2349697..2350344,2350388..2350766)		
2022-08-25	SPBC2A9.05c	tvp23	after	II:complement(join(2956469..2956904,2956966..2957132))		
2022-08-25	SPBC2A9.05c	tvp23	before	II:complement(join(2956469..2956904,2956966..2957189))		
2022-08-25	SPBC30B4.08	eri1	after	II:join(1320740..1320819,1320897..1321004,1321066..1321471,1321534..1321833)		
2022-08-25	SPBC30B4.08	eri1	before	II:join(1320692..1320819,1320897..1321004,1321066..1321471,1321534..1321833)		
2022-08-25	SPBC30D10.09c	hva22	after	II:join(3083470..3083483,3083527..3083648,3083742..3084106)		
2022-08-25	SPBC30D10.09c		before	II:join(3083317..3083483,3083527..3083648,3083742..3084106)		
2022-08-25	SPBC336.10c	tif512	after	II:complement(2758761..2759234)		
2022-08-25	SPBC336.10c	tif512	before	II:complement(2758761..2759270)		
2022-08-25	SPBC337.16	cho1	after	II:join(1058422..1058951,1059007..1059067)		
2022-08-25	SPBC337.16	cho1	before	II:join(1058347..1058951,1059007..1059067)		
2022-08-25	SPBC428.01c	nup107	after	II:complement(join(439274..441187,441229..441337,441392..441484,441541..441667,441718..441751,441793..441840,441916..441975))		
2022-08-25	SPBC428.01c	nup107	before	II:complement(join(439274..441187,441229..441337,441392..441484,441541..441667,441718..441751,441793..441840,441916..442032))		
2022-08-25	SPBC428.18	cdt1	after	II:477431..478699		
2022-08-25	SPBC428.18	cdt1	before	II:477365..478699		
2022-08-25	SPBC582.05c	brc1	after	II:complement(join(426160..428547,428634..428771,428873..428896))		
2022-08-25	SPBC582.05c	brc1	before	II:complement(join(426160..428547,428634..428771,428903..429013))		
2022-08-25	SPBC582.07c	rpn7	after	II:complement(430551..431744)		
2022-08-25	SPBC582.07c	rpn7	before	II:complement(430551..431780)		
2022-08-25	SPBC582.08	alt1	after	II:join(432595..433012,433204..434003,434057..434311)		
2022-08-25	SPBC582.08		before	II:join(432550..433012,433204..434003,434057..434311)		
2022-08-25	SPBC685.09	orc2	after	II:2782066..2783565		
2022-08-25	SPBC685.09	orc2	before	II:2781958..2783565		
2022-08-25	SPBC8D2.10c	rmt3	after	II:complement(join(1376341..1377734,1377814..1377909,1378224..1378266))		
2022-08-25	SPBC8D2.10c	rmt3	before	II:complement(join(1376341..1377734,1377814..1377909,1378224..1378365))		
2022-08-25	SPBC947.03c	naa38	after	II:join(676761..676908,677057..677127)		
2022-08-25	SPBC947.03c	naa38	before	II:join(676629..676908,677057..677127)		
2022-08-25	SPAC1071.09c		after	I:complement(3870660..3871427)		
2022-08-25	SPAC1071.09c		before	I:complement(3870660..3871508)		
2022-08-25	SPAC17H9.04c	dri1	after	I:complement(2009905..2011695)	remove MSKLPSPT	
2022-08-25	SPAC17H9.04c	dri1	before	I:complement(2009905..2011719)	remove MSKLPSPT	
2022-08-25	SPAC1952.03	otu2	after	I:join(4971189..4971548,4971595..4972137)		
2022-08-25	SPAC1952.03	otu2	before	I:join(4971117..4971548,4971595..4972137)		
2022-08-25	SPAC1952.15c	rec24	after	I:complement(join(4996030..4996763,4996904..4997171))		
2022-08-25	SPAC1952.15c	rec24	before	I:complement(join(4996030..4996763,4996904..4997222))		
2022-08-25	SPAC19A8.06	pbr1	after	I:complement(2475966..2477096)		
2022-08-25	SPAC19A8.06	pbr1	before	I:complement(2475966..2477159)		
2022-08-25	SPAC1B2.03c	elo2	after	I:complement(join(2811438..2812368,2812412..2812464))	remove MDLTGAH to get /score=2039.31	
2022-08-25	SPAC1B2.03c	elo2	before	I:complement(join(2811438..2812368,2812412..2812485))	remove MDLTGAH to get /score=2039.31	
2022-08-25	SPAC1B3.18c	mrps18	after	I:complement(4967223..4967756)		
2022-08-25	SPAC1B3.18c	mrps18	before	I:complement(4967223..4967894)		
2022-08-25	SPAC1F12.09	gpi17	after	I:join(3818803..3818907,3818954..3819677,3819720..3820420)		
2022-08-25	SPAC1F12.09	gpi17	before	I:join(3818668..3818907,3818954..3819677,3819720..3820420)		
2022-08-25	SPAC22F8.10c	sap145	after	I:complement(4804630..4806387)		
2022-08-25	SPAC22F8.10c	sap145	before	I:complement(4804630..4806435)		
2022-08-25	SPAC23C11.17	mdm28	after	I:join(2167206..2167245,2167302..2168683)	remove MKYPRTHIQFPS	
2022-08-25	SPAC23C11.17	mdm28	before	I:join(2167170..2167245,2167302..2168683)	remove MKYPRTHIQFPS	
2022-08-25	SPAC25B8.08		after	I:4168263..4169984		
2022-08-25	SPAC25B8.08		before	I:4168212..4169984		
2022-08-25	SPAC26A3.09c	rga2	after	I:complement(3348569..3352258)		
2022-08-25	SPAC26A3.09c	rga2	before	I:complement(3348569..3352396)		
2022-08-25	SPAC26F1.02	pnn1	after	I:complement(join(5181982..5182122,5182191..5182628))		
2022-08-25	SPAC26F1.02	pnn1	before	I:complement(join(5181982..5182122,5182191..5182632,5182721..5182731))		
2022-08-25	SPAC26F1.14c	aif1	after	I:5146273..5148000		
2022-08-25	SPAC26F1.14c	aif1	before	I:5146165..5148000		
2022-08-25	SPAC4G9.11c	cmb1	after	I:complement(2275578..2276177)		
2022-08-25	SPAC4G9.11c	cmb1	before	I:complement(2275578..2276249)		
2022-08-25	SPAC4H3.06		after	I:join(3837449..3837519,3837568..3837751,3837811..3837890,3837940..3838000)		
2022-08-25	SPAC4H3.06		before	I:join(3837431..3837519,3837568..3837751,3837811..3837890,3837940..3838000)		
2022-08-25	SPAC521.02	wss1	after	I:843296..844084		
2022-08-25	SPAC521.02	wss1	before	I:843233..844084		
2022-08-25	SPAC589.02c	med13	after	I:complement(join(3095075..3098590,3098626..3098667))	truncated 40 AA	
2022-08-25	SPAC589.02c	med13	before	I:complement(join(3095075..3098590,3098626..3098781,3098878..3098883))	truncated 40 AA	
2022-08-25	SPAC637.09	rex1	after	I:4555423..4557294		
2022-08-25	SPAC637.09	rex1	before	I:4555399..4557294		
2022-08-25	SPAC688.09	rim2	after	I:join(3127689..3127813,3127862..3128780)		
2022-08-25	SPAC688.09	rim2	before	I:join(3127647..3127813,3127862..3128780)		
2022-08-25	SPAP8A3.12c	tpp2	after	I:complement(5336815..5340471)		
2022-08-25	SPAP8A3.12c	tpp2	before	I:complement(5336815..5340639)		
2022-08-25	SPAPB18E9.01	trm5	after	I:join(3974340..3974485,3974541..3974629,3974674..3974775,3974879..3975132,3975193..3975429,3975485..3975832,3975882..3975962,3976014..3976079)		
2022-08-25	SPAPB18E9.01	trm5	before	I:join(3974310..3974485,3974541..3974629,3974674..3974775,3974879..3975132,3975193..3975429,3975485..3975832,3975882..3975962,3976014..3976079)		
2022-04-03	SPAC1002.01	mrx11	after	I:1798347..1798835	remove final exon	
2022-04-03	SPAC1002.01	mrx11	before	I:join(1798347..1798830,1798960..1799015)	remove final exon	
2022-04-03	SPAC1002.12c		after	I:complement(1818695..1820191)		
2022-04-03	SPAC1002.12c		before	I:complement(1818695..1820338)		
2022-04-03	SPAC1002.17c	urg2	after	I:complement(1831012..1831581)	change MSTTTTVSAIRTVEE to MSNITISSHPV	
2022-04-03	SPAC1002.17c	urg2	before	I:complement(1831012..1831626)	change MSTTTTVSAIRTVEE to MSNITISSHPV	
2022-04-03	SPAC1565.08	cdc48	after	I:join(1306457..1306512,1306569..1308942)		
2022-04-03	SPAC1565.08	cdc48	before	I:join(1306439..1306512,1306569..1308942)		
2022-04-03	SPAC167.04	pam17	after	I:complement(join(1554001..1554072,1554135..1554166,1554214..1554292,1554381..1554791))		
2022-04-03	SPAC167.04	pam17	before	I:complement(join(1554001..1554072,1554135..1554166,1554214..1554292,1554381..1554827))		
2022-04-03	SPAC17A5.02c	dbr1	after	I:complement(join(1754033..1754145,1754186..1754310,1754350..1755118,1755164..1755285,1755331..1755593))	trim to MRVGVQGC	
2022-04-03	SPAC17A5.02c	dbr1	before	I:complement(join(1754033..1754145,1754186..1754310,1754350..1755118,1755164..1755285,1755331..1755638))	trim to MRVGVQGC	
2022-04-03	SPAC1A6.10	tcd1	after	I:1090729..1092135	truncate at MAG (AA20)	
2022-04-03	SPAC1A6.10	tcd1	before	I:1090678..1092135	truncate at MAG (AA20)	
2022-04-03	SPAC227.11c	yos9	after	I:complement(join(514552..515082,515222..515482))		
2022-04-03	SPAC227.11c	yos9	before	I:complement(join(514552..515082,515222..515482,515534..515674))		
2022-04-03	SPAC2F7.08c	snf5	after	I:complement(546664..548460)		
2022-04-03	SPAC2F7.08c	snf5	before	I:complement(546664..548562)		
2022-04-03	SPAC30D11.03	ddx27	after	I:complement(join(1116057..1116202,1116247..1116367,1116415..1118292))	trim to MET at AA41	
2022-04-03	SPAC30D11.03	ddx27	before	I:complement(join(1116057..1116202,1116247..1116367,1116415..1118412))	trim to MET at AA41	
2022-04-03	SPAC3H1.05	ste24	after	I:join(1938990..1939004,1939075..1940394)	new start MGIL	
2022-04-03	SPAC3H1.05	ste24	before	I:join(1938900..1939004,1939075..1940394)	new start MGIL	
2022-04-03	SPAC3H1.12c	snt2	after	I:complement(1961710..1965063)		
2022-04-03	SPAC3H1.12c	snt2	before	I:complement(1961710..1965105)		
2022-04-03	SPAC4G8.07c	trm2	after	I:complement(join(774000..774023,774155..774403,774453..775290,775414..775513,775641..775863))		
2022-04-03	SPAC4G8.07c	trm2	before	I:complement(join(774000..774023,774155..774403,774453..775290,775414..775513,775641..776013))		
2022-04-03	SPAC56E4.04c	cut6	after	I:complement(join(1246095..1252807,1253430..1253460))	trim to MET at AA34	
2022-04-03	SPAC56E4.04c	cut6	before	I:complement(join(1246095..1252807,1253430..1253559))	trim to MET at AA34	
2022-04-03	SPAC56F8.04c	ppt1	after	I:complement(1133226..1134302)		
2022-04-03	SPAC56F8.04c	ppt1	before	I:complement(join(1133226..1134283,1134332..1134356))		
2022-04-03	SPAC57A7.12	ssz1	after	I:complement(join(1515089..1516663,1516789..1516866))		
2022-04-03	SPAC57A7.12	ssz1	before	I:complement(join(1515089..1516663,1516789..1516914))		
2022-04-03	SPAC630.14c	tup12	after	I:complement(join(374683..375830,376094..376446,376844..376931,376993..377116))		
2022-04-03	SPAC630.14c	tup12	before	I:complement(join(374683..375830,376094..376446,376844..376931,376993..377200))		
2021-07-27	SPAC4F10.02	aap1	after	I:join(4832911..4833160,4833257..4834428)		PMID:34169534
2021-07-27	SPAC4F10.02	aap1	before	I:join(4832929..4833160,4833257..4834428)		PMID:34169534
2021-04-29	SPAC22A12.08c.1	crd1	after	I:complement(join(1169939..1170029,1170169..1170260,1170307..1170461,1170504..1171270,1171362..1171856,1171900..1171956,1171999..1172126))		
2021-04-29	SPAC22A12.08c.1	crd1	before	I:complement(join(1170705..1170724,1170801..1171270,1171362..1171856,1171900..1171956,1171999..1172126))		
2021-04-29	SPAC22A12.08c.2	crd1	after	I:complement(join(1170705..1170724,1170801..1171270,1171362..1171856,1171900..1171956,1171999..1172126))		
2021-04-29	SPAC22A12.08c.2	crd1	before	I:complement(join(1169939..1170029,1170169..1170260,1170307..1170461,1170504..1171270,1171362..1171856,1171900..1171956,1171999..1172126))		
2021-04-29	SPAC22A12.08c.1	crd1	after	I:complement(join(1170705..1170724,1170801..1171270,1171362..1171856,1171900..1171956,1171999..1172126))		
2021-04-29	SPAC22A12.08c.1	crd1	before	I:complement(join(1169939..1170029,1170169..1170260,1170307..1170461,1170504..1170724,1170801..1171270,1171362..1171856,1171900..1171956,1171999..1172126))		
2020-05-01	SPAC2E12.05	wtf1	after	I:join(5064781..5064919,5065087..5065332,5065380..5065610,5065652..5065705,5065760..5065836)	pseudo->coding	PMID:28631610,PMID:28631610
2020-05-01	SPAC2E12.05	wtf1	before	I:5064305..5066231	pseudo->coding	PMID:28631610
2020-05-01	SPBC1706.02c	wtf2	after	II:complement(join(593185..593261,593368..593393,593437..593575))		PMID:28631610, PMID:30991417,PMID:28631610
2020-05-01	SPBC1706.02c	wtf2	before	II:complement(join(593188..593261,593311..593368,593437..593575))		PMID:28631610, PMID:30991417
2020-05-01	SPCC162.04c	wtf13	after	III:complement(join(1580123..1580268,1580319..1580381,1580422..1580613,1580650..1581006,1581055..1581327,1581559..1581694))		PMID:28631610, PMID:30991417
2020-05-01	SPCC162.04c	wtf13	before	III:complement(join(1580123..1580613,1580650..1581006,1581055..1581327,1581559..1581694))		PMID:28631610, PMID:30991417
2020-05-01	SPCC285.06c	wtf17	after	III:complement(join(1805166..1805242,1805299..1805352,1805393..1805614,1805664..1805909,1806076..1806214))		PMID:28631610, PMID:30991417,PMID:28631610
2020-05-01	SPCC285.06c	wtf17	before	III:complement(join(1805166..1805242,1805299..1805352,1805393..1805614,1805664..1805909,1806076..1806225,1806411..1806450))		PMID:28631610, PMID:30991417
2020-05-01	SPCC285.07c	wtf18	after	III:complement(join(1807004..1807131,1807182..1807244,1807285..1807476,1807513..1807836,1807885..1808157,1808396..1808534))		PMID:28631610, PMID:30991417,PMID:28631610
2020-05-01	SPCC285.07c	wtf18	before	III:complement(join(1807004..1807131,1807182..1807244,1807285..1807476,1807513..1807726,1807760..1807836,1807885..1808157,1808396..1808534))		PMID:28631610, PMID:30991417
2020-05-01	SPCC306.10	wtf8	after	III:join(427445..427583,427752..427997,428047..428290,428336..428527,428568..428630,428681..428763)		PMID:28631610
2020-05-01	SPCC306.10	wtf8	before	III:join(427445..427583,427752..427997,428072..428290,428336..428527,428568..428630,428681..428763)		
2020-05-01	SPCC548.02c	wtf3	after	III:complement(join(219185..219261,219315..219368,219409..219684,219734..219979,220148..220286))		PMID:28631610, PMID:30991417,PMID:28631610
2020-05-01	SPCC548.02c	wtf3	before	III:complement(join(219185..219261,219294..219368,219409..219684,219734..219979,220148..220283))		PMID:28631610, PMID:30991417
2020-05-01	SPCC548.03c	wtf4	after	III:complement(join(221199..221344,221395..221457,221498..221689,221726..222016,222065..222337,222566..222701))		PMID:28631610, PMID:30991417,PMID:28631610
2020-05-01	SPCC548.03c	wtf4	before	III:complement(join(221199..221335,221395..221457,221498..221689,221726..222016,222065..222337,222566..222701))		PMID:28631610, PMID:30991417
2020-05-01	SPCC553.05c	wtf6	after	III:complement(join(297140..297216,297266..297307,297349..297655,297705..297950,298119..298258))	introduces stop codon at position 25	PMID:28631610, PMID:30991417,PMID:28631610
2020-05-01	SPCC553.05c	wtf6	before	III:complement(join(297354..297655,297705..297950,298119..298194))	introduces stop codon at position 25	PMID:28631610, PMID:30991417
2020-05-01	SPCC576.16c	wtf22	after	III:complement(join(2109178..2109281,2109333..2109395,2109436..2109608,2109645..2109923,2109973..2110221,2110391..2110528))	introduces stop codon at position 50	PMID:28631610,PMID:28631610
2020-05-01	SPCC576.16c	wtf22	before	III:complement(join(2109181..2109395,2109432..2109608,2109645..2109923,2109973..2110221,2110391..2110528))	introduces stop codon at position 50	PMID:28631610
2020-05-01	SPCC622.21	wtf12	after	III:join(1401530..1401668,1401900..1402172,1402221..1402448,1402490..1402672)	introduces stop codon at position 274	PMID:30991417,PMID:28631610
2020-05-01	SPCC622.21	wtf12	before	III:join(1401530..1401668,1401900..1402172,1402490..1402551,1402553..1402672)	introduces stop codon at position 274	PMID:30991417
2020-05-01	SPCC736.05	wtf7	after	III:join(320617..320755,320964..321335,321387..321523)		PMID:28631610, PMID:30991417,PMID:28631610
2020-05-01	SPCC736.05	wtf7	before	III:join(320608..320755,320964..321335,321387..321523)		PMID:28631610, PMID:30991417
2020-05-01	SPCC830.02	wtf24	after	III:join(2181204..2181342,2181510..2181758,2181808..2182031,2182077..2182268,2182309..2182371,2182422..2182504)	introduces stop codon at position 145	PMID:28631610, PMID:30991417,PMID:28631610
2020-05-01	SPCC830.02	wtf24	before	III:join(2181204..2181342,2181510..2181758,2181808..2182031,2182077..2182371,2182422..2182504)	introduces stop codon at position 145	PMID:28631610, PMID:30991417
2020-04-30	SPMIT.03	cox1-I2b	after	mitochondrial:6965..7816		
2020-04-30	SPMIT.03	cox1-I2b	before	mitochondrial:<6845..7816		
2020-04-30	SPMIT.01	cox1	after	mitochondrial:join(4885..5288,6499..6843,7925..8792)		
2020-04-30	SPMIT.01	cox1	before	mitochondrial:join(4886..5289,6500..6844,7926..8790)		
2020-04-30	SPMIT.03	cox1-I2b	after	mitochondrial:<6845..7816		
2020-04-30	SPMIT.03		before	mitochondrial:<6966..7718		
2020-04-30	SPMIT.04	cox3	after	mitochondrial:8961..9770		
2020-04-30	SPMIT.04	cox3	before	mitochondrial:8947..9765		
2020-04-30	SPMIT.05	cob1	after	mitochondrial:join(10175..10858,13385..13864)		
2020-04-30	SPMIT.05	cob1	before	mitochondrial:join(10173..10856,13383..13862)		
2020-04-30	SPMIT.06		after	mitochondrial:<10859..13282		
2020-04-30	SPMIT.06		before	mitochondrial:10857..13280		
2020-04-30	SPMIT.07	atp6	after	mitochondrial:14758..15531		
2020-04-30	SPMIT.07	atp6	before	mitochondrial:14756..15529		
2020-04-30	SPMIT.11	cox2	after	mitochondrial:18563..19309		
2020-04-30	SPMIT.11	cox2	before	mitochondrial:18561..19307		
2019-10-16	SPBPB8B6.04c	grt1	after	II:complement(join(49143..50910,50953..51062,51113..51181))		
2019-10-16	SPBPB8B6.04c	grt1	before	II:complement(join(49152..50910,50953..51062,51113..51181))		
2018-08-08	SPBC1271.09	tgp1	after	II:complement(350783..352369)		
2018-08-08	SPBC1271.09	tgp1	before	II:complement(join(350692..350740,350787..352369))		
2018-08-08	SPBC1271.09	tgp1	after	II:complement(join(350692..350740,350787..352369))		
2018-08-08	SPBC1271.09	tgp1	before	II:complement(350783..352369)		
2018-08-05	SPBC1271.09	tgp1	after	II:complement(350783..352369)		
2018-08-05	SPBC1271.09	tgp1	before	II:complement(352200..352369)		
2018-08-05	SPBC1271.09	tgp1	after	II:complement(352200..352369)		
2018-08-05	SPBC1271.09	tgp1	before	II:complement(join(350692..350740,350787..352369))		
2018-02-19	SPBPB8B6.04c	grt1	after	II:complement(join(49152..50910,50953..51062,51113..51181))		
2018-02-19	SPBPB8B6.04c	grt1	before	II:complement(join(49143..50910,50953..51062,51113..51181))		
2017-09-14	SPBC577.05c	rec27	after	II:complement(join(757566..757746,757796..757951,758002..758042))		PMID:28469148
2017-09-14	SPBC577.05c	rec27	before	II:complement(join(757566..757746,757796..757951,758130..758197))		PMID:28469148
2017-05-02	SPAC9G1.15c	mzt1	after	I:complement(1985350..1985544)		
2017-05-02	SPAC9G1.15c	mzt1	before	I:complement(1985350..1985545)		
2017-04-17	SPBC530.13	lsc1	after	II:join(824374..824534,824579..824660,824874..824999,825065..825188,825245..825747)	Frameshifted by Chr_II:825012!G→A	PMID:26615217; pers. comm. Li-Lin Du
2017-04-17	SPBC530.13	lsc1	before	II:join(824374..824534,824579..824660,824874..825011,825065..825188,825245..825747)	Frameshifted by Chr_II:825012!G→A	PMID:26615217; pers. comm. Li-Lin Du
2017-04-12	SPAC1071.01c	pta1	after	I:complement(join(3855626..3855790,3855792..3857792))	Frameshifted by Chr_I:3855790!GT→G	PMID:26615217; pers. comm. Li-Lin Du
2017-04-12	SPAC1071.01c	pta1	before	I:complement(3855780..3857792)	Frameshifted by Chr_I:3855790!GT→G	PMID:26615217; pers. comm. Li-Lin Du
2017-04-12	SPAC12B10.09	pet801	after	I:join(4588487..4588510,4588567..4588723,4588869..4589323,4589410..4589574)		PMID:26615217; pers. comm. Li-Lin Du
2017-04-12	SPAC12B10.09	pet801	before	I:join(4588250..4588510,4588567..4588723,4588869..4589323,4589410..4589574)		PMID:26615217; pers. comm. Li-Lin Du
2017-04-12	SPAC1486.05	nup189	after	I:join(3197028..3197529,3197529..3202450)	Frameshifted by Chr_I:3197528!A→AG	PMID:26615217; pers. comm. Li-Lin Du
2017-04-12	SPAC1486.05	nup189	before	I:join(3197028..3197525,3197528..3202450)	Frameshifted by Chr_I:3197528!A→AG	PMID:26615217; pers. comm. Li-Lin Du
2017-04-12	SPAC29A4.03c	mrps9	after	I:join(5142407..5142626,5142626..5143224)	Frameshifted by Chr_I:5142627!A→AG	PMID:26615217; pers. comm. Li-Lin Du
2017-04-12	SPAC29A4.03c		before	I:join(5142407..5142628,5142631..5143224)	Frameshifted by Chr_I:5142627!A→AG	PMID:26615217; pers. comm. Li-Lin Du
